# x,y,z,group (every 3 lines = 1 triangle)
4.049754,0.358073,3.789773,2
3.824555,0.011870,3.623904,2
4.049754,0.358073,3.789773,2
3.886870,0.033516,3.829080,2
3.946112,0.269079,3.522961,2
3.941337,0.430345,3.632362,2
4.035564,0.541262,3.839849,2
3.946112,0.269079,3.522961,2
4.035564,0.541262,3.839849,2
4.049754,0.358073,3.789773,2
4.049754,0.358073,3.789773,2
4.035564,0.541262,3.839849,2
4.054819,0.563065,4.289066,2
4.049754,0.358073,3.789773,2
4.054819,0.563065,4.289066,2
4.115161,0.380192,4.227340,2
3.886870,0.033516,3.829080,2
4.049754,0.358073,3.789773,2
4.115161,0.380192,4.227340,2
3.886870,0.033516,3.829080,2
4.115161,0.380192,4.227340,2
3.983818,0.050239,4.283924,2
3.983818,0.050239,4.283924,2
4.115161,0.380192,4.227340,2
4.263088,0.387565,4.755925,2
3.983818,0.050239,4.283924,2
4.263088,0.387565,4.755925,2
4.137809,0.055813,4.822571,2
4.115161,0.380192,4.227340,2
4.054819,0.563065,4.289066,2
4.164870,0.570333,4.824531,2
4.115161,0.380192,4.227340,2
4.164870,0.570333,4.824531,2
4.263088,0.387565,4.755925,2
4.263088,0.387565,4.755925,2
4.164870,0.570333,4.824531,2
4.274391,0.563065,5.280969,2
4.263088,0.387565,4.755925,2
4.274391,0.563065,5.280969,2
4.396726,0.380192,5.209648,2
4.137809,0.055813,4.822571,2
4.263088,0.387565,4.755925,2
4.396726,0.380192,5.209648,2
4.137809,0.055813,4.822571,2
4.396726,0.380192,5.209648,2
4.267626,0.050239,5.280479,2
4.267626,0.050239,5.280479,2
4.396726,0.380192,5.209648,2
4.419267,0.358073,5.422627,2
4.267626,0.050239,5.280479,2
4.419267,0.358073,5.422627,2
4.292053,0.033516,5.493103,2
4.396726,0.380192,5.209648,2
4.274391,0.563065,5.280969,2
4.292053,0.541262,5.493103,2
4.396726,0.380192,5.209648,2
4.292053,0.541262,5.493103,2
4.419267,0.358073,5.422627,2
4.419267,0.358073,5.422627,2
4.292053,0.541262,5.493103,2
4.181092,0.430345,5.595868,2
4.419267,0.358073,5.422627,2
4.181092,0.430345,5.595868,2
4.272037,0.269079,5.559935,2
4.292053,0.033516,5.493103,2
4.419267,0.358073,5.422627,2
4.272037,0.269079,5.559935,2
4.292053,0.033516,5.493103,2
4.272037,0.269079,5.559935,2
4.181092,0.011870,5.595868,2
-1.934355,-1.495139,5.052144,2
-0.998328,-1.682462,5.153721,2
-0.998328,-1.696397,5.757939,2
-1.934355,-1.495139,5.052144,2
-0.998328,-1.696397,5.757939,2
-1.936273,-1.508538,5.655625,2
-0.998328,-1.682462,5.153721,2
0.045677,-1.750541,5.191619,2
0.045677,-1.764577,5.795837,2
-0.998328,-1.682462,5.153721,2
0.045677,-1.764577,5.795837,2
